"year","recuperacion","ponderador","captura","biomasa","reduccion"
2015,0,"0.0 Fmrs",18798.45,131130.5,0.293515
2016,1,"0.0 Fmrs",1.92511e-09,146158,0.3271455
2017,2,"0.0 Fmrs",2.262115e-09,166075.5,0.372298
2018,3,"0.0 Fmrs",2.59947e-09,186556.5,0.419025
2019,4,"0.0 Fmrs",2.94895e-09,207537.5,0.4636035
2020,5,"0.0 Fmrs",3.305515e-09,225734,0.505252
2021,6,"0.0 Fmrs",3.65371e-09,242183.5,0.541908
2022,7,"0.0 Fmrs",3.982475e-09,255637,0.573101
2023,8,"0.0 Fmrs",4.31812e-09,267287.5,0.598287
2024,9,"0.0 Fmrs",4.60817e-09,277120,0.620537
2025,10,"0.0 Fmrs",4.86527e-09,286011.5,0.6436205
2026,11,"0.0 Fmrs",5.116345e-09,295915.5,0.6640235
2027,12,"0.0 Fmrs",5.298e-09,302719.5,0.681752
2028,13,"0.0 Fmrs",5.34878e-09,305553.5,0.6863765
2029,14,"0.0 Fmrs",5.49371e-09,312122.5,0.70158
2030,15,"0.0 Fmrs",5.618865e-09,317740,0.714098
2031,16,"0.0 Fmrs",5.682555e-09,319452.5,0.718434
2032,17,"0.0 Fmrs",5.7907e-09,325414,0.7289305
2033,18,"0.0 Fmrs",5.936515e-09,331050,0.742737
2034,19,"0.0 Fmrs",6.071435e-09,334469,0.7521025
2035,20,"0.0 Fmrs",5.689755e-09,321526.5,0.724583
2036,21,"0.0 Fmrs",5.72771e-09,322247.5,0.7263445
2037,22,"0.0 Fmrs",5.749445e-09,322779,0.7260605
2038,23,"0.0 Fmrs",5.887015e-09,328142,0.738576
2039,24,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2040,25,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2041,26,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2042,27,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2043,28,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2044,29,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2045,30,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2046,31,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2047,32,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2048,33,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2049,34,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2050,35,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2051,36,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2052,37,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2053,38,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2054,39,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2055,40,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2056,41,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2057,42,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2058,43,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2059,44,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2060,45,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2061,46,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2062,47,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2063,48,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2064,49,"0.0 Fmrs",5.88706e-09,328145,0.7385835
2015,0,"0.1 Fmsr",18798.45,131130.5,0.293515
2016,1,"0.1 Fmsr",1913.49,145033.5,0.324617
2017,2,"0.1 Fmsr",2219.76,163292.5,0.3655605
2018,3,"0.1 Fmsr",2525.025,182025,0.408638
2019,4,"0.1 Fmsr",2833.725,200453,0.4481795
2020,5,"0.1 Fmsr",3138.095,217033,0.4844015
2021,6,"0.1 Fmsr",3433.875,231135,0.5174055
2022,7,"0.1 Fmsr",3706.975,242255,0.543022
2023,8,"0.1 Fmsr",3972.26,251080.5,0.5618255
2024,9,"0.1 Fmsr",4195.415,258027.5,0.578966
2025,10,"0.1 Fmsr",4388.615,265205.5,0.596037
2026,11,"0.1 Fmsr",4589.125,272131,0.6127845
2027,12,"0.1 Fmsr",4720.61,277385,0.6243855
2028,13,"0.1 Fmsr",4747.24,279485.5,0.628833
2029,14,"0.1 Fmsr",4853.96,284365,0.6402315
2030,15,"0.1 Fmsr",4946.375,288792.5,0.648275
2031,16,"0.1 Fmsr",5006.255,290420.5,0.6518665
2032,17,"0.1 Fmsr",5059.22,294406,0.661528
2033,18,"0.1 Fmsr",5180.185,297892,0.6684085
2034,19,"0.1 Fmsr",5267.87,300563,0.6760525
2035,20,"0.1 Fmsr",5013.38,291803.5,0.6575945
2036,21,"0.1 Fmsr",5029.345,292101.5,0.658182
2037,22,"0.1 Fmsr",5052.54,293411.5,0.6588125
2038,23,"0.1 Fmsr",5142.33,296404,0.6680415
2039,24,"0.1 Fmsr",5142.375,296406,0.6680455
2040,25,"0.1 Fmsr",5142.375,296406,0.6680455
2041,26,"0.1 Fmsr",5142.375,296406,0.6680455
2042,27,"0.1 Fmsr",5142.375,296406,0.6680455
2043,28,"0.1 Fmsr",5142.375,296406,0.6680455
2044,29,"0.1 Fmsr",5142.375,296406,0.6680455
2045,30,"0.1 Fmsr",5142.375,296406,0.6680455
2046,31,"0.1 Fmsr",5142.375,296406,0.6680455
2047,32,"0.1 Fmsr",5142.375,296406,0.6680455
2048,33,"0.1 Fmsr",5142.375,296406,0.6680455
2049,34,"0.1 Fmsr",5142.375,296406,0.6680455
2050,35,"0.1 Fmsr",5142.375,296406,0.6680455
2051,36,"0.1 Fmsr",5142.375,296406,0.6680455
2052,37,"0.1 Fmsr",5142.375,296406,0.6680455
2053,38,"0.1 Fmsr",5142.375,296406,0.6680455
2054,39,"0.1 Fmsr",5142.375,296406,0.6680455
2055,40,"0.1 Fmsr",5142.375,296406,0.6680455
2056,41,"0.1 Fmsr",5142.375,296406,0.6680455
2057,42,"0.1 Fmsr",5142.375,296406,0.6680455
2058,43,"0.1 Fmsr",5142.375,296406,0.6680455
2059,44,"0.1 Fmsr",5142.375,296406,0.6680455
2060,45,"0.1 Fmsr",5142.375,296406,0.6680455
2061,46,"0.1 Fmsr",5142.375,296406,0.6680455
2062,47,"0.1 Fmsr",5142.375,296406,0.6680455
2063,48,"0.1 Fmsr",5142.375,296406,0.6680455
2064,49,"0.1 Fmsr",5142.375,296406,0.6680455
2015,0,"0.2 Fmrs",18798.45,131130.5,0.293515
2016,1,"0.2 Fmrs",3805.45,143893.5,0.322181
2017,2,"0.2 Fmrs",4360.5,160397.5,0.3595925
2018,3,"0.2 Fmrs",4907.075,177635.5,0.3983105
2019,4,"0.2 Fmrs",5446.305,194221,0.4346625
2020,5,"0.2 Fmrs",5972.115,208673,0.465695
2021,6,"0.2 Fmrs",6474.265,220992.5,0.494621
2022,7,"0.2 Fmrs",6925.67,230211.5,0.515994
2023,8,"0.2 Fmrs",7354.19,236825,0.5299425
2024,9,"0.2 Fmrs",7696.825,241774,0.543424
2025,10,"0.2 Fmrs",8011.645,247518.5,0.556564
2026,11,"0.2 Fmrs",8317.095,252664.5,0.5691905
2027,12,"0.2 Fmrs",8505.34,256523,0.5784895
2028,13,"0.2 Fmrs",8535.705,258247,0.5815275
2029,14,"0.2 Fmrs",8704.535,262114.5,0.5900765
2030,15,"0.2 Fmrs",8819.6,265141.5,0.5960755
2031,16,"0.2 Fmrs",8920.095,266229.5,0.5987805
